,Plant_no,Tray,Variety,Harvest date,Number of leaves,Leaf area on harvest,Fresh weight on harvest,Dried weight (7 days later),harvest_date,im_names_on_270922,im_names_on_041022,im_names_on_111022,im_names_on_181022,im_names_on_251022,im_names_on_011122,im_names_on_081122,harvest_img
77,78,6,voyager,01/11/2022,31.0,192.81,3.4228,0.2639,2022-11-01,,,IMG_8156.JPG,IMG_8226.JPG,IMG_8274.JPG,IMG_8299.JPG,,IMG_8299.JPG
78,79,6,voyager,11/10/2022,8.0,11.95,0.1886,0.0224,2022-10-11,,,IMG_8157.JPG,,,,,IMG_8157.JPG
79,80,6,voyager,18/10/2022,13.0,41.59,0.7682,0.0682,2022-10-18,,,IMG_8158.JPG,IMG_8227.JPG,,,,IMG_8227.JPG
80,81,6,voyager,25/10/2022,21.0,245.43,1.471,0.1139,2022-10-25,,,IMG_8159.JPG,IMG_8228.JPG,IMG_8275.JPG,,,IMG_8275.JPG
81,82,6,voyager,08/11/2022,37.0,233.74,3.698,0.2425,2022-11-08,,,IMG_8160.JPG,IMG_8229.JPG,IMG_8276.JPG,IMG_8300.JPG,IMG_8316.JPG,IMG_8316.JPG
82,83,6,voyager,01/11/2022,33.0,218.16,3.4551,0.2391,2022-11-01,,,IMG_8161.JPG,IMG_8230.JPG,IMG_8277.JPG,IMG_8301.JPG,,IMG_8301.JPG
83,84,6,voyager,11/10/2022,5.0,11.68,0.2121,0.0242,2022-10-11,,,IMG_8162.JPG,,,,,IMG_8162.JPG
84,85,6,voyager,18/10/2022,18.0,72.04,1.177,0.1113,2022-10-18,,,IMG_8163.JPG,IMG_8231.JPG,,,,IMG_8231.JPG
85,86,6,voyager,25/10/2022,15.0,62.19,1.0035,0.0716,2022-10-25,,,IMG_8164.JPG,IMG_8232.JPG,IMG_8278.JPG,,,IMG_8278.JPG
86,87,6,voyager,08/11/2022,56.0,418.11,6.705,0.4869,2022-11-08,,,IMG_8165.JPG,IMG_8233.JPG,IMG_8279.JPG,IMG_8302.JPG,IMG_8317.JPG,IMG_8317.JPG
87,88,6,voyager,01/11/2022,34.0,212.05,3.2318,0.2435,2022-11-01,,,IMG_8166.JPG,IMG_8234.JPG,IMG_8280.JPG,IMG_8303.JPG,,IMG_8303.JPG
